nohup: ignoring input
t=2025-10-29T04:40:49+0530 lvl=info msg="no configuration paths supplied"
t=2025-10-29T04:40:49+0530 lvl=info msg="using configuration at default config path" path=/home/nitesh/.config/ngrok/ngrok.yml
t=2025-10-29T04:40:49+0530 lvl=info msg="open config file" path=/home/nitesh/.config/ngrok/ngrok.yml err=nil
t=2025-10-29T04:40:49+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-29T04:40:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-29T04:40:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-29T05:16:26+0530 lvl=info msg="join connections" obj=join id=ab6942f7e4bf l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:53424
t=2025-10-29T05:16:31+0530 lvl=info msg="join connections" obj=join id=27251f123aa9 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52823
t=2025-10-29T05:16:31+0530 lvl=info msg="join connections" obj=join id=e0f10720f8d7 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52823
t=2025-10-29T05:16:31+0530 lvl=info msg="join connections" obj=join id=9eeef67920b7 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52823
t=2025-10-29T05:16:33+0530 lvl=info msg="join connections" obj=join id=806b811cfdcf l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51600
t=2025-10-29T05:16:33+0530 lvl=info msg="join connections" obj=join id=c7ec923e2955 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51600
t=2025-10-29T05:16:40+0530 lvl=info msg="join connections" obj=join id=1209c5ecbb81 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:50444
t=2025-10-29T05:16:50+0530 lvl=info msg="join connections" obj=join id=61b51100a25a l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:50890
t=2025-10-29T05:16:53+0530 lvl=info msg="join connections" obj=join id=c4383c360c11 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:50890
t=2025-10-29T05:16:53+0530 lvl=info msg="join connections" obj=join id=d60755dfd486 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:50890
t=2025-10-29T05:16:54+0530 lvl=info msg="join connections" obj=join id=2d4e48189e16 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:50890
t=2025-10-29T05:16:55+0530 lvl=info msg="join connections" obj=join id=a74735adbdeb l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:50890
t=2025-10-29T05:17:00+0530 lvl=info msg="join connections" obj=join id=050662d095f5 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51251
t=2025-10-29T05:17:02+0530 lvl=info msg="join connections" obj=join id=385419cb3051 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51251
